"id","Edifici","Estat","X_ETRS89","Y_ETRS89","Longitud","Latitud","Direccio","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Any_Auditoria","Any_Certificacio","Concepte","Valor"
10,"OAC d'Horta","Edificis en procés de millora",430574.841,4584597.275,2.169,41.41,"Carrer de Lepant, 387, 08025 Barcelona",7,"Horta-Guinardó",33,"el Baix Guinardó",2016,"","Punt_Recarrega_Treballadors","No"
11,"Seu del Districte de Nou Barris","Edificis Amics de la Bici",430708.858,4587561.798,2.171,41.437,"Plaça Major de Nou Barris, 1, 08042 Barcelona",8,"Nou Barris",48,"la Guineueta",2016,"Desembre 2018","Punt_Recarrega_Treballadors","Si"
12,"Oficines del carrer Pi Sunyer","Edificis en procés de millora",430933.026,4581847.802,2.174,41.385,"Plaça de Carles Pi i Sunyer, 8, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2016,"","Punt_Recarrega_Treballadors","No"
13,"B:SM - Oficines Corporatives","Edificis en procés de millora",429514.736,4581090.553,2.157,41.378,"Carrer de Calàbria, 66, 08015 Barcelona",2,"Eixample",10,"Sant Antoni",2016,"","Punt_Recarrega_Treballadors","No"
14,"ICUB - Born Centre Cultural","Edificis en procés de millora",431733.123,4581888.764,2.184,41.386,"Plaça Comercial, 12, 08003 Barcelona",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",2016,"","Punt_Recarrega_Treballadors","No"
15,"ICUB - Via Sepulcral","Edificis en procés de millora",430771.03,4581788.962,2.172,41.385,"Plaça de la Vila de Madrid, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2016,"","Punt_Recarrega_Treballadors","No"
16,"ICUB - DHUB","Edificis en procés de millora",432121.049,4583768.198,2.188,41.403,"Plaça de les Glòries Catalanes, 37, 08018 Barcelona",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou ",2016,"","Punt_Recarrega_Treballadors","No"
17,"ICUB - La Virreina Centre de la Imatge","Edificis Amics de la Bici",430748.961,4581549.143999998,2.172,41.382,"La Rambla, 99, 08002 Barcelona",1,"Ciutat Vella",1,"el Raval",2016,"Desembre 2018","Punt_Recarrega_Treballadors","No"
18,"ICUB - Museu Etnològic","Edificis en procés de millora",429415.125,4580058.863,2.156,41.369,"Passeig de Santa Madrona, 16, 08038 Barcelona",3,"Sants-Montjuic",11,"el Poble Sec",2016,"","Punt_Recarrega_Treballadors","No"
19,"ICUB - Museu Marès","Edificis Amics de la Bici",431174.037,4581730.969,2.177,41.38399999999999,"Plaça Sant Iu, 5, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2016,"Desembre 2018","Punt_Recarrega_Treballadors","No"
20,"Seu del Districte d'Horta","Edificis Amics de la Bici",430350.244,4584923.764,2.167,41.413,"Ronda del Guinardó, 49, 08024 Barcelona",7,"Horta-Guinardó",33,"el Baix Guinardó",2016,"Desembre 2018","Punt_Recarrega_Treballadors","No"
21,"IMEB","Edificis en procés de millora",428756.054,4580742.21,2.148,41.375,"Plaça Espanya, 5, 08014 Barcelona",3,"Sants-Montjuic",15,"Hostafrancs",2016,"","Punt_Recarrega_Treballadors","No"
22,"La Fàbrica del Sol","Edificis Amics de la Bici",432412.956,4581516.23,2.192,41.382,"Passeig de Salvat Papasseit, 1, 08003 Barcelona",1,"Ciutat Vella",3,"la Barceloneta",2017,"Novembre 2017","Punt_Recarrega_Treballadors","No"
23,"Espai Jove la Fontana","Edificis en procés de millora",429171.001,4583792.01,2.153,41.403,"Carrer Gran de Gràcia, 190-192, 08012 Barcelona",6,"Gràcia",31,"Vila de Gràcia",2017,"","Punt_Recarrega_Treballadors","No"
24,"Institut del Paisatge Urbà","Edificis en procés de millora",431100.908,4580854.12,2.176,41.37600000000001,"Av. de les Drassanes, 6, 08001 Barcelona",1,"Sants-Montjuic",1,"el Raval",2017,"","Punt_Recarrega_Treballadors","No"
25,"Recursos Humans ESCAR","Edificis en procés de millora",432153.717,4580750.544,2.189,41.375,"Carrer de l'Escar, 1, 08039 Barcelona",1,"Ciutat Vella",3,"la Barceloneta",2017,"","Punt_Recarrega_Treballadors","No"
26,"Barcelona Activa - Almogavers","Edificis en procés de millora",432555.5770000001,4583421.234,2.193,41.4,"Carrer dels Almogàvers, 165, 08018 Barcelona",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou ",2017,"","Punt_Recarrega_Treballadors","No"
27,"Pati Llimona","Edificis en procés de millora",431370.399,4581463.21,2.1790000000000003,41.382,"Carrer del Regomir, 3, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2017,"","Punt_Recarrega_Treballadors","No"
28,"Recursos Humans Avinyo","Edificis Amics de la Bici",431101.499,4581444.28,2.176,41.382,"Carrer d'Avinyó, 7,08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2017,"Desembre 2017","Punt_Recarrega_Treballadors","No"
29,"Espai Jove Garcilaso","Edificis en procés de millora",431972.028,4585997.39,2.186,41.423,"Carrer de Garcilaso, 103, 08027 Barcelona",9,"Sant Andreu",61,"la Sagrera",2017,"","Punt_Recarrega_Treballadors","No"
30,"Edifici d'oficines Pallach","Edificis en procés de millora",432512.196,4587578.273,2.192,41.437,"Carrer Segadors, 2, 08030 Barcelona",9,"Sant Andreu",60,"Sant Andreu",2017,"","Punt_Recarrega_Treballadors","No"
31,"Seu de Districte de Sant Andreu","Edificis en procés de millora",432388.303,4587464.876,2.191,41.43600000000001,"Plaça d'Orfila, 1, 08030 Barcelona",9,"Sant Andreu",60,"Sant Andreu",2017,"","Punt_Recarrega_Treballadors","No"
32,"BIMSA","Edificis en procés de millora",432738.808,4584160.711,2.195,41.40600000000001,"C. Bolívia, 105 ",10,"Sant Martí",71,"Provençals del Poblenou",2018,"","Punt_Recarrega_Treballadors","No"
33,"Seu del Districte de Les Corts","Edificis Amics de la Bici",427232.776,4581936.412,2.13,41.386,"Plaça Comas, 18",4,"Les Corts",19,"les Corts",2018,"Desembre 2018","Punt_Recarrega_Treballadors","No"
34,"Seu annexa del Districte de Ciutat Vella / OAC","Edificis en procés de millora",430477.641,4581731.197,2.169,41.38399999999999,"Ramelleres, 17",1,"Ciutat Vella",1,"el Raval",2018,"","Punt_Recarrega_Treballadors","No"
35,"Espai Bombers","Edificis en procés de millora",429300.001,4580603.937,2.155,41.374,"C Lleida 30",3,"Sants - Montjuïc",11,"el Poble Sec",2019,"","Punt_Recarrega_Treballadors","No"
36,"Casa Orlandai","Edificis en procés de millora",426834.384,4583375.995,2.125,41.399,"Jaume Piquet 23",5,"Sarrià - Sant Gervasi",23,"Sarrià",2019,"","Punt_Recarrega_Treballadors","No"
37,"Arxiu Fotogràfic","Edificis en procés de millora",431592.573,4582025.767,2.182,41.387,"Plaça Pons i Clerch, 2 planta 2a",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",2019,"","Punt_Recarrega_Treballadors","No"
38,"Institut Municipal d'Hisenda","Edificis Amics de la Bici",433024.253,4583594.302,2.199,41.401,"C/Pallars 202",10,"Sant Martí",68,"el Poblenou",2019,"","Punt_Recarrega_Treballadors","No"
39,"Edifici InnoBa - Can Jaumandreu","Edificis en procés de millora",432472.334,4584250.813999998,2.192,41.407,"c/Perú 52",10,"Sant Martí",71,"Provençals del Poblenou",2019,"","Punt_Recarrega_Treballadors","No"
40,"Museu de Ciències Naturals","Edificis en procés de millora",434883.617,4584666.322,2.192,41.407,"Plaça Leonardo da Vinci, 4-5",10,"Sant Martí",71,"Provençals del Poblenou",2020,"","Punt_Recarrega_Treballadors","No"
1,"Cases Consistorials","Edificis Amics de la Bici",431230.34,4581482.742,2.178,41.382,"Carrer dels gegants, 1, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2015,"Octubre 2016","Punt_Recarrega_Visitants","No"
2,"Seu de Districte Gràcia","Edificis en procés de millora",429602.199,4583505.42,2.158,41.4,"Plaça de la Vila de Gràcia, 2, 08012 Barcelona",6,"Gràcia",31,"Vila de Gràcia",2015,"","Punt_Recarrega_Visitants","No"
3,"Oficines Diagonal 240","Edificis en procés de millora",432325.715,4583977.808,2.19,41.405,"Avinguda Diagonal, 240, 08018 Barcelona",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou ",2015,"Gener 2019","Punt_Recarrega_Visitants","No"
4,"Seu del Districte de Sants","Edificis en procés de millora",428276.803,4580780.298,2.142,41.375,"Carrer de la Creu Coberta, 104-106, 08014 Barcelona",3,"Sants-Montjuic",15,"Hostafrancs",2016,"","Punt_Recarrega_Visitants","No"
5,"Centre cívic cotxeres de Sants","Edificis en procés de millora",427823.531,4580780.223,2.137,41.375,"Carrer de Sants, 79, 08014 Barcelona",3,"Sants-Montjuic",18,"Sants",2016,"","Punt_Recarrega_Visitants","No"
6,"Oficines d'Ecologia Urbana al carrer Torrent de l'Olla","Edificis Amics de la Bici",429172.229,4584207.268,2.153,41.40600000000001,"Carrer del Torrent de l'Olla, 212-220,08012 Barcelona",6,"Gràcia",31,"Vila de Gràcia",2016,"Desembre 2018","Punt_Recarrega_Visitants","No"
7,"Barcelona Activa - Seu Central","Edificis en procés de millora",432495.456,4584163.213,2.192,41.40600000000001,"Carrer del Torrent de l'Olla, 212-220,08012 Barcelona",10,"Sant Martí",71,"Provençals del Poblenou",2016,"","Punt_Recarrega_Visitants","No"
8,"Barcelona Activa - Nord","Edificis en procés de millora",430583.16,4587598.351,2.169,41.437,"Parc Tecnològic, Marie Curie, 8-14, 08042 Barcelona",8,"Nou Barris",48,"la Guineueta",2016,"","Punt_Recarrega_Visitants","No"
9,"Prefectura de la Guàrdia Urbana de Barcelona","Edificis en procés de millora",429237.15,4580410.569,2.154,41.372,"Carrer de la Guàrdia Urbana, 3, 08004 Barcelona",3,"Sants-Montjuic",11,"el Poble Se",2016,"","Punt_Recarrega_Visitants","No"
10,"OAC d'Horta","Edificis en procés de millora",430574.841,4584597.275,2.169,41.41,"Carrer de Lepant, 387, 08025 Barcelona",7,"Horta-Guinardó",33,"el Baix Guinardó",2016,"","Punt_Recarrega_Visitants","No"
11,"Seu del Districte de Nou Barris","Edificis Amics de la Bici",430708.858,4587561.798,2.171,41.437,"Plaça Major de Nou Barris, 1, 08042 Barcelona",8,"Nou Barris",48,"la Guineueta",2016,"Desembre 2018","Punt_Recarrega_Visitants","No"
12,"Oficines del carrer Pi Sunyer","Edificis en procés de millora",430933.026,4581847.802,2.174,41.385,"Plaça de Carles Pi i Sunyer, 8, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2016,"","Punt_Recarrega_Visitants","No"
13,"B:SM - Oficines Corporatives","Edificis en procés de millora",429514.736,4581090.553,2.157,41.378,"Carrer de Calàbria, 66, 08015 Barcelona",2,"Eixample",10,"Sant Antoni",2016,"","Punt_Recarrega_Visitants","No"
14,"ICUB - Born Centre Cultural","Edificis en procés de millora",431733.123,4581888.764,2.184,41.386,"Plaça Comercial, 12, 08003 Barcelona",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",2016,"","Punt_Recarrega_Visitants","No"
15,"ICUB - Via Sepulcral","Edificis en procés de millora",430771.03,4581788.962,2.172,41.385,"Plaça de la Vila de Madrid, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2016,"","Punt_Recarrega_Visitants","No"
16,"ICUB - DHUB","Edificis en procés de millora",432121.049,4583768.198,2.188,41.403,"Plaça de les Glòries Catalanes, 37, 08018 Barcelona",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou ",2016,"","Punt_Recarrega_Visitants","No"
17,"ICUB - La Virreina Centre de la Imatge","Edificis Amics de la Bici",430748.961,4581549.143999998,2.172,41.382,"La Rambla, 99, 08002 Barcelona",1,"Ciutat Vella",1,"el Raval",2016,"Desembre 2018","Punt_Recarrega_Visitants","No"
18,"ICUB - Museu Etnològic","Edificis en procés de millora",429415.125,4580058.863,2.156,41.369,"Passeig de Santa Madrona, 16, 08038 Barcelona",3,"Sants-Montjuic",11,"el Poble Sec",2016,"","Punt_Recarrega_Visitants","No"
19,"ICUB - Museu Marès","Edificis Amics de la Bici",431174.037,4581730.969,2.177,41.38399999999999,"Plaça Sant Iu, 5, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2016,"Desembre 2018","Punt_Recarrega_Visitants","No"
20,"Seu del Districte d'Horta","Edificis Amics de la Bici",430350.244,4584923.764,2.167,41.413,"Ronda del Guinardó, 49, 08024 Barcelona",7,"Horta-Guinardó",33,"el Baix Guinardó",2016,"Desembre 2018","Punt_Recarrega_Visitants","No"
21,"IMEB","Edificis en procés de millora",428756.054,4580742.21,2.148,41.375,"Plaça Espanya, 5, 08014 Barcelona",3,"Sants-Montjuic",15,"Hostafrancs",2016,"","Punt_Recarrega_Visitants","No"
22,"La Fàbrica del Sol","Edificis Amics de la Bici",432412.956,4581516.23,2.192,41.382,"Passeig de Salvat Papasseit, 1, 08003 Barcelona",1,"Ciutat Vella",3,"la Barceloneta",2017,"Novembre 2017","Punt_Recarrega_Visitants","No"
23,"Espai Jove la Fontana","Edificis en procés de millora",429171.001,4583792.01,2.153,41.403,"Carrer Gran de Gràcia, 190-192, 08012 Barcelona",6,"Gràcia",31,"Vila de Gràcia",2017,"","Punt_Recarrega_Visitants","No"
24,"Institut del Paisatge Urbà","Edificis en procés de millora",431100.908,4580854.12,2.176,41.37600000000001,"Av. de les Drassanes, 6, 08001 Barcelona",1,"Sants-Montjuic",1,"el Raval",2017,"","Punt_Recarrega_Visitants","No"
25,"Recursos Humans ESCAR","Edificis en procés de millora",432153.717,4580750.544,2.189,41.375,"Carrer de l'Escar, 1, 08039 Barcelona",1,"Ciutat Vella",3,"la Barceloneta",2017,"","Punt_Recarrega_Visitants","No"
26,"Barcelona Activa - Almogavers","Edificis en procés de millora",432555.5770000001,4583421.234,2.193,41.4,"Carrer dels Almogàvers, 165, 08018 Barcelona",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou ",2017,"","Punt_Recarrega_Visitants","No"
27,"Pati Llimona","Edificis en procés de millora",431370.399,4581463.21,2.1790000000000003,41.382,"Carrer del Regomir, 3, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2017,"","Punt_Recarrega_Visitants","No"
28,"Recursos Humans Avinyo","Edificis Amics de la Bici",431101.499,4581444.28,2.176,41.382,"Carrer d'Avinyó, 7,08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2017,"Desembre 2017","Punt_Recarrega_Visitants","No"
29,"Espai Jove Garcilaso","Edificis en procés de millora",431972.028,4585997.39,2.186,41.423,"Carrer de Garcilaso, 103, 08027 Barcelona",9,"Sant Andreu",61,"la Sagrera",2017,"","Punt_Recarrega_Visitants","No"
30,"Edifici d'oficines Pallach","Edificis en procés de millora",432512.196,4587578.273,2.192,41.437,"Carrer Segadors, 2, 08030 Barcelona",9,"Sant Andreu",60,"Sant Andreu",2017,"","Punt_Recarrega_Visitants","No"
31,"Seu de Districte de Sant Andreu","Edificis en procés de millora",432388.303,4587464.876,2.191,41.43600000000001,"Plaça d'Orfila, 1, 08030 Barcelona",9,"Sant Andreu",60,"Sant Andreu",2017,"","Punt_Recarrega_Visitants","No"
32,"BIMSA","Edificis en procés de millora",432738.808,4584160.711,2.195,41.40600000000001,"C. Bolívia, 105 ",10,"Sant Martí",71,"Provençals del Poblenou",2018,"","Punt_Recarrega_Visitants","No"
33,"Seu del Districte de Les Corts","Edificis Amics de la Bici",427232.776,4581936.412,2.13,41.386,"Plaça Comas, 18",4,"Les Corts",19,"les Corts",2018,"Desembre 2018","Punt_Recarrega_Visitants","No"
34,"Seu annexa del Districte de Ciutat Vella / OAC","Edificis en procés de millora",430477.641,4581731.197,2.169,41.38399999999999,"Ramelleres, 17",1,"Ciutat Vella",1,"el Raval",2018,"","Punt_Recarrega_Visitants","No"
35,"Espai Bombers","Edificis en procés de millora",429300.001,4580603.937,2.155,41.374,"C Lleida 30",3,"Sants - Montjuïc",11,"el Poble Sec",2019,"","Punt_Recarrega_Visitants","No"
36,"Casa Orlandai","Edificis en procés de millora",426834.384,4583375.995,2.125,41.399,"Jaume Piquet 23",5,"Sarrià - Sant Gervasi",23,"Sarrià",2019,"","Punt_Recarrega_Visitants","No"
37,"Arxiu Fotogràfic","Edificis en procés de millora",431592.573,4582025.767,2.182,41.387,"Plaça Pons i Clerch, 2 planta 2a",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",2019,"","Punt_Recarrega_Visitants","No"
38,"Institut Municipal d'Hisenda","Edificis Amics de la Bici",433024.253,4583594.302,2.199,41.401,"C/Pallars 202",10,"Sant Martí",68,"el Poblenou",2019,"","Punt_Recarrega_Visitants","No"
39,"Edifici InnoBa - Can Jaumandreu","Edificis en procés de millora",432472.334,4584250.813999998,2.192,41.407,"c/Perú 52",10,"Sant Martí",71,"Provençals del Poblenou",2019,"","Punt_Recarrega_Visitants","No"
40,"Museu de Ciències Naturals","Edificis en procés de millora",434883.617,4584666.322,2.192,41.407,"Plaça Leonardo da Vinci, 4-5",10,"Sant Martí",71,"Provençals del Poblenou",2020,"","Punt_Recarrega_Visitants","No"
1,"Cases Consistorials","Edificis Amics de la Bici",431230.34,4581482.742,2.178,41.382,"Carrer dels gegants, 1, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2015,"Octubre 2016","Flota_Propia_Bicicletes","No"
2,"Seu de Districte Gràcia","Edificis en procés de millora",429602.199,4583505.42,2.158,41.4,"Plaça de la Vila de Gràcia, 2, 08012 Barcelona",6,"Gràcia",31,"Vila de Gràcia",2015,"","Flota_Propia_Bicicletes","No"
3,"Oficines Diagonal 240","Edificis en procés de millora",432325.715,4583977.808,2.19,41.405,"Avinguda Diagonal, 240, 08018 Barcelona",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou ",2015,"Gener 2019","Flota_Propia_Bicicletes","No"
4,"Seu del Districte de Sants","Edificis en procés de millora",428276.803,4580780.298,2.142,41.375,"Carrer de la Creu Coberta, 104-106, 08014 Barcelona",3,"Sants-Montjuic",15,"Hostafrancs",2016,"","Flota_Propia_Bicicletes","No"
5,"Centre cívic cotxeres de Sants","Edificis en procés de millora",427823.531,4580780.223,2.137,41.375,"Carrer de Sants, 79, 08014 Barcelona",3,"Sants-Montjuic",18,"Sants",2016,"","Flota_Propia_Bicicletes","No"
6,"Oficines d'Ecologia Urbana al carrer Torrent de l'Olla","Edificis Amics de la Bici",429172.229,4584207.268,2.153,41.40600000000001,"Carrer del Torrent de l'Olla, 212-220,08012 Barcelona",6,"Gràcia",31,"Vila de Gràcia",2016,"Desembre 2018","Flota_Propia_Bicicletes","Sí"
7,"Barcelona Activa - Seu Central","Edificis en procés de millora",432495.456,4584163.213,2.192,41.40600000000001,"Carrer del Torrent de l'Olla, 212-220,08012 Barcelona",10,"Sant Martí",71,"Provençals del Poblenou",2016,"","Flota_Propia_Bicicletes","No"
8,"Barcelona Activa - Nord","Edificis en procés de millora",430583.16,4587598.351,2.169,41.437,"Parc Tecnològic, Marie Curie, 8-14, 08042 Barcelona",8,"Nou Barris",48,"la Guineueta",2016,"","Flota_Propia_Bicicletes","No"
9,"Prefectura de la Guàrdia Urbana de Barcelona","Edificis en procés de millora",429237.15,4580410.569,2.154,41.372,"Carrer de la Guàrdia Urbana, 3, 08004 Barcelona",3,"Sants-Montjuic",11,"el Poble Se",2016,"","Flota_Propia_Bicicletes","No"
10,"OAC d'Horta","Edificis en procés de millora",430574.841,4584597.275,2.169,41.41,"Carrer de Lepant, 387, 08025 Barcelona",7,"Horta-Guinardó",33,"el Baix Guinardó",2016,"","Flota_Propia_Bicicletes","No"
11,"Seu del Districte de Nou Barris","Edificis Amics de la Bici",430708.858,4587561.798,2.171,41.437,"Plaça Major de Nou Barris, 1, 08042 Barcelona",8,"Nou Barris",48,"la Guineueta",2016,"Desembre 2018","Flota_Propia_Bicicletes","No"
12,"Oficines del carrer Pi Sunyer","Edificis en procés de millora",430933.026,4581847.802,2.174,41.385,"Plaça de Carles Pi i Sunyer, 8, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2016,"","Flota_Propia_Bicicletes","No"
13,"B:SM - Oficines Corporatives","Edificis en procés de millora",429514.736,4581090.553,2.157,41.378,"Carrer de Calàbria, 66, 08015 Barcelona",2,"Eixample",10,"Sant Antoni",2016,"","Flota_Propia_Bicicletes","Sí"
14,"ICUB - Born Centre Cultural","Edificis en procés de millora",431733.123,4581888.764,2.184,41.386,"Plaça Comercial, 12, 08003 Barcelona",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",2016,"","Flota_Propia_Bicicletes","No"
15,"ICUB - Via Sepulcral","Edificis en procés de millora",430771.03,4581788.962,2.172,41.385,"Plaça de la Vila de Madrid, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2016,"","Flota_Propia_Bicicletes","No"
16,"ICUB - DHUB","Edificis en procés de millora",432121.049,4583768.198,2.188,41.403,"Plaça de les Glòries Catalanes, 37, 08018 Barcelona",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou ",2016,"","Flota_Propia_Bicicletes","No"
17,"ICUB - La Virreina Centre de la Imatge","Edificis Amics de la Bici",430748.961,4581549.143999998,2.172,41.382,"La Rambla, 99, 08002 Barcelona",1,"Ciutat Vella",1,"el Raval",2016,"Desembre 2018","Flota_Propia_Bicicletes","No"
18,"ICUB - Museu Etnològic","Edificis en procés de millora",429415.125,4580058.863,2.156,41.369,"Passeig de Santa Madrona, 16, 08038 Barcelona",3,"Sants-Montjuic",11,"el Poble Sec",2016,"","Flota_Propia_Bicicletes","No"
19,"ICUB - Museu Marès","Edificis Amics de la Bici",431174.037,4581730.969,2.177,41.38399999999999,"Plaça Sant Iu, 5, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2016,"Desembre 2018","Flota_Propia_Bicicletes","No"
20,"Seu del Districte d'Horta","Edificis Amics de la Bici",430350.244,4584923.764,2.167,41.413,"Ronda del Guinardó, 49, 08024 Barcelona",7,"Horta-Guinardó",33,"el Baix Guinardó",2016,"Desembre 2018","Flota_Propia_Bicicletes","No"
21,"IMEB","Edificis en procés de millora",428756.054,4580742.21,2.148,41.375,"Plaça Espanya, 5, 08014 Barcelona",3,"Sants-Montjuic",15,"Hostafrancs",2016,"","Flota_Propia_Bicicletes","No"
22,"La Fàbrica del Sol","Edificis Amics de la Bici",432412.956,4581516.23,2.192,41.382,"Passeig de Salvat Papasseit, 1, 08003 Barcelona",1,"Ciutat Vella",3,"la Barceloneta",2017,"Novembre 2017","Flota_Propia_Bicicletes","No"
23,"Espai Jove la Fontana","Edificis en procés de millora",429171.001,4583792.01,2.153,41.403,"Carrer Gran de Gràcia, 190-192, 08012 Barcelona",6,"Gràcia",31,"Vila de Gràcia",2017,"","Flota_Propia_Bicicletes","No"
24,"Institut del Paisatge Urbà","Edificis en procés de millora",431100.908,4580854.12,2.176,41.37600000000001,"Av. de les Drassanes, 6, 08001 Barcelona",1,"Sants-Montjuic",1,"el Raval",2017,"","Flota_Propia_Bicicletes","No"
25,"Recursos Humans ESCAR","Edificis en procés de millora",432153.717,4580750.544,2.189,41.375,"Carrer de l'Escar, 1, 08039 Barcelona",1,"Ciutat Vella",3,"la Barceloneta",2017,"","Flota_Propia_Bicicletes","No"
26,"Barcelona Activa - Almogavers","Edificis en procés de millora",432555.5770000001,4583421.234,2.193,41.4,"Carrer dels Almogàvers, 165, 08018 Barcelona",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou ",2017,"","Flota_Propia_Bicicletes","No"
27,"Pati Llimona","Edificis en procés de millora",431370.399,4581463.21,2.1790000000000003,41.382,"Carrer del Regomir, 3, 08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2017,"","Flota_Propia_Bicicletes","No"
28,"Recursos Humans Avinyo","Edificis Amics de la Bici",431101.499,4581444.28,2.176,41.382,"Carrer d'Avinyó, 7,08002 Barcelona",1,"Ciutat Vella",2,"el Gòtic",2017,"Desembre 2017","Flota_Propia_Bicicletes","No"
29,"Espai Jove Garcilaso","Edificis en procés de millora",431972.028,4585997.39,2.186,41.423,"Carrer de Garcilaso, 103, 08027 Barcelona",9,"Sant Andreu",61,"la Sagrera",2017,"","Flota_Propia_Bicicletes","No"
30,"Edifici d'oficines Pallach","Edificis en procés de millora",432512.196,4587578.273,2.192,41.437,"Carrer Segadors, 2, 08030 Barcelona",9,"Sant Andreu",60,"Sant Andreu",2017,"","Flota_Propia_Bicicletes","No"
31,"Seu de Districte de Sant Andreu","Edificis en procés de millora",432388.303,4587464.876,2.191,41.43600000000001,"Plaça d'Orfila, 1, 08030 Barcelona",9,"Sant Andreu",60,"Sant Andreu",2017,"","Flota_Propia_Bicicletes","Sí"
32,"BIMSA","Edificis en procés de millora",432738.808,4584160.711,2.195,41.40600000000001,"C. Bolívia, 105 ",10,"Sant Martí",71,"Provençals del Poblenou",2018,"","Flota_Propia_Bicicletes","No"
33,"Seu del Districte de Les Corts","Edificis Amics de la Bici",427232.776,4581936.412,2.13,41.386,"Plaça Comas, 18",4,"Les Corts",19,"les Corts",2018,"Desembre 2018","Flota_Propia_Bicicletes","No"
34,"Seu annexa del Districte de Ciutat Vella / OAC","Edificis en procés de millora",430477.641,4581731.197,2.169,41.38399999999999,"Ramelleres, 17",1,"Ciutat Vella",1,"el Raval",2018,"","Flota_Propia_Bicicletes","No"
35,"Espai Bombers","Edificis en procés de millora",429300.001,4580603.937,2.155,41.374,"C Lleida 30",3,"Sants - Montjuïc",11,"el Poble Sec",2019,"","Flota_Propia_Bicicletes","No"
36,"Casa Orlandai","Edificis en procés de millora",426834.384,4583375.995,2.125,41.399,"Jaume Piquet 23",5,"Sarrià - Sant Gervasi",23,"Sarrià",2019,"","Flota_Propia_Bicicletes","No"
37,"Arxiu Fotogràfic","Edificis en procés de millora",431592.573,4582025.767,2.182,41.387,"Plaça Pons i Clerch, 2 planta 2a",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",2019,"","Flota_Propia_Bicicletes","No"
38,"Institut Municipal d'Hisenda","Edificis Amics de la Bici",433024.253,4583594.302,2.199,41.401,"C/Pallars 202",10,"Sant Martí",68,"el Poblenou",2019,"","Flota_Propia_Bicicletes","No"
39,"Edifici InnoBa - Can Jaumandreu","Edificis en procés de millora",432472.334,4584250.813999998,2.192,41.407,"c/Perú 52",10,"Sant Martí",71,"Provençals del Poblenou",2019,"","Flota_Propia_Bicicletes","No"
